Title,Price,Currency,Seller FB,Signals,provider,signals,seller_feedback,rank
Sharper Image Powerboost Sport Percussion Handheld Massager: Metal,24.64,USD,750495,9.0,aliexpress,9.0,750495,1650495.0
Black & Decker HLVA325JP07 dustbuster furbuster AdvanceClean Pet Vacuum New,59.99,USD,653870,9.0,aliexpress,9.0,653870,1553870.0
Logitech G PRO TKL Wired Mechanical GX Blue Clicky Gaming Keyboard w/ RGB,52.99,USD,453660,9.0,aliexpress,9.0,453660,1353660.0
"Acer PM1 15.6"" FHD IPS 1080p Portable Monitor 60Hz 5ms USB-C Mini-HDMI PM161Q J",58.05,USD,396007,9.0,aliexpress,9.0,396007,1296007.0
6 speeds Massage Gun Percussion Massager Deep Tissue Muscle Vibrating Relax,15.99,USD,350273,9.0,aliexpress,9.0,350273,1250273.0
Shark Ip1251 Powerdetect Cordless Stick Vacuum,150.0,USD,179354,9.0,aliexpress,9.0,179354,1079354.0
Sharper Image Powerboost Sport Percussion Handheld Massager: Metal,24.64,USD,750495,0.0,ebay,0.0,750495,750495.0
Acer 27 ED273 Abidpx,172.0,USD,652095,0.0,ebay,0.0,652095,652095.0
"Deco Gear 49"" Curved Ultrawide 3840x1080, 32:9 144Hz FreeSync 4ms Gaming Monitor",412.0,USD,652095,0.0,ebay,0.0,652095,652095.0
"Label Holder for Rolls and Fan-Fold Labels, Thermal Sticker Holder for Desktop Thermal Printer, Shipping Label Stand Desktop Label Printer Accessory Supplies for Home, Office, Small Business",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Miniature Frog Figurines - Funny Frog Sculpture for Shelf, Desk Decoration - Frog Desk Accessories - Perfect Cute Frog Gift for Frog Lovers (Red Sofa)",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Adjustable Cell Phone Stand, CreaDream Phone Stand, Cradle, Dock, Holder, Aluminum Desktop Stand Compatible With Phone Xs Max Xr 8 7 6 6s Plus SE Charging, Accessories Desk,All Mobile Phones-Navy Blue",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Lamicall Cell Phone Stand, Desk Accessories - Clear Office Cell Phone Holder, Acrylic Phone Stand, Desktop, Acrylic Office Desk Accessories, Office Decor, Suitable for iPhone, 4-8'' Phone",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Lamicall Adjustable Cell Phone Stand, Desk Phone Holder, Cradle, Dock, Compatible with iPhone 17 16 15 14 Air Plus Pro Pro Max 13 12 X XS, 4-8"" Phones, Office Accessories, All Smartphone, Black",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"JARGO 3 in 1 Wireless Charging Station for Apple Devices, Foldable iPhone Charging Station for iPhone 17/16/15/14/13/12, Apple Watch & AirPods with Magsafe, Travel Essentials Wireless Charger (Black)",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"50000 mAh Portable Charger with Built in Cable & Wall Plug, Power Bank, 4 Outputs, 22.5W Fast Charging, Travel Essential Battery Pack with LED Display for iPhone 17/16/15/14 Series, Samsung, iPad",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Madesmart Classic 4-Compartment Drawer Organizer Gadget Tray, Plastic Multipurpose Storage Bin for Drawers, Granite",0.0,USD,0,5.0,amazon,5.0,0,500000.0
Heartland Home Porcelain Nesting Spoon Rest for Stove Top or Counter. 2pc Cooking Spoon Holder (Big/Little). Utensil Rest and Small Spoon Rest. Smart Kitchen Gadget,0.0,USD,0,5.0,amazon,5.0,0,500000.0
"1110 Tool Pouch Bag, Heavy Duty Small Tool Bag with YKK Zipper, Multipurpose Storage Pouch for Tools, Gadgets, Cosmetics, Stationery, Travel Accessories (3 Pack)",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Survival Kit Advent Calendar 2025 for Adult Men Teen Boys - 24 Days Fun Christmas Countdown Outdoor Gadget for Hunting Camping Fishing, Xmas Cool Unique Adventure Gift for Teenager Husband Dad",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Cord Holder, Cable Clips Cord Organizer 8 Pack Clasp Lock Christmas Decor Gifts Cable Organizer Clips Cord Holder for Nightstand Home Office Desk Accessories Kitchen Gadgets Essentials, Bread Machine",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"UL Listed USB Wall Charger Block (5W, White, 1pcs), 5V 1A Power Adapter for Outlet, Plug for Cell Phones, Tablets, Earphones, Power Banks, Smart Wearables, Toys and More Electronic Gadgets",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"Ultra-Strong Magnetic for MagSafe Wallet for iPhone All Series RFID Leather with Adjustable Stand 5 Card Holder for iPhone 17/16/15/14/13/12 and Pro/Promax,Gifts for Men, Men's Accessories",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"-10pcs- JW Verses Premium 3D Stickers - Accessories of Cell Phone, Ministry Supplies - for JW, Jehovah Witness Gifts, JW.org, Men, Her and Women (VM 10)",0.0,USD,0,5.0,amazon,5.0,0,500000.0
"CreaDream Acrylic Cell Phone Stand, 5mm Thicker Clear Cell Phone Holder, Transparent Phone Stand for Desk, Desktop, Desk Accessories, Suitable for iPhone 14 13 Pro Max, All Smartphone 4-8inch",0.0,USD,0,5.0,amazon,5.0,0,500000.0
